{ 2 JetEta JetPt 0 None ScaleFactor }
-2.65 -2.5 80 90 3 1.3386 1.1386 1.5386
-2.65 -2.5 90 100 3 1.37631 1.17631 1.57631
-2.65 -2.5 100 110 3 1.41591 1.21591 1.61591
-2.65 -2.5 110 135 3 1.48633 1.28633 1.68633
-2.65 -2.5 135 160 3 1.59364 1.39364 1.79364
-2.65 -2.5 160 185 3 1.70127 1.50127 1.90127
-2.65 -2.5 185 210 3 1.80596 1.60596 2.00596
-2.65 -2.5 210 235 3 1.90559 1.70559 2.10559
-2.65 -2.5 235 260 3 1.99895 1.79895 2.19895
-2.65 -2.5 260 285 3 2.08545 1.88545 2.28545
-2.65 -2.5 285 310 3 2.16495 1.96495 2.36495
-2.65 -2.5 310 335 3 2.23761 2.03761 2.43761
-2.65 -2.5 335 360 3 2.30374 2.10374 2.50374
-2.65 -2.5 360 385 3 2.36379 2.16379 2.56379
-2.65 -2.5 385 410 3 2.41823 2.21823 2.61823
-2.65 -2.5 410 435 3 2.46754 2.26754 2.66754
-2.65 -2.5 435 460 3 2.5122 2.3122 2.7122
-2.65 -2.5 460 485 3 2.55267 2.35267 2.75267
-2.65 -2.5 485 7000 3 3.05658 2.85658 3.25658
-2.5 -2.322 0 10 3 1.16882 1 1.36882
-2.5 -2.322 10 20 3 1.1696 1 1.3696
-2.5 -2.322 20 30 3 1.17114 1 1.37114
-2.5 -2.322 30 40 3 1.17344 1 1.37344
-2.5 -2.322 40 50 3 1.17646 1 1.37646
-2.5 -2.322 50 60 3 1.18018 1 1.38018
-2.5 -2.322 60 70 3 1.18455 1 1.38455
-2.5 -2.322 70 80 3 1.18952 1 1.38952
-2.5 -2.322 80 90 3 1.19506 1 1.39506
-2.5 -2.322 90 100 3 1.20109 1.00109 1.40109
-2.5 -2.322 100 110 3 1.20758 1.00758 1.40758
-2.5 -2.322 110 135 3 1.21948 1.01948 1.41948
-2.5 -2.322 135 160 3 1.23848 1.03848 1.43848
-2.5 -2.322 160 185 3 1.25855 1.05855 1.45855
-2.5 -2.322 185 210 3 1.27899 1.07899 1.47899
-2.5 -2.322 210 235 3 1.29926 1.09926 1.49926
-2.5 -2.322 235 260 3 1.31893 1.11893 1.51893
-2.5 -2.322 260 285 3 1.33772 1.13772 1.53772
-2.5 -2.322 285 310 3 1.35545 1.15545 1.55545
-2.5 -2.322 310 335 3 1.37203 1.17203 1.57203
-2.5 -2.322 335 360 3 1.38741 1.18741 1.58741
-2.5 -2.322 360 385 3 1.40161 1.20161 1.60161
-2.5 -2.322 385 410 3 1.41467 1.21467 1.61467
-2.5 -2.322 410 435 3 1.42665 1.22665 1.62665
-2.5 -2.322 435 460 3 1.43762 1.23762 1.63762
-2.5 -2.322 460 485 3 1.44766 1.24766 1.64766
-2.5 -2.322 485 7000 3 1.57959 1.37959 1.77959
-2.322 -2.043 0 7000 3 1.1912 1.0618 1.3206
-2.043 -1.930 0 7000 3 1.1581 1.0888 1.2274
-1.930 -1.740 0 7000 3 1.1117 1.0748 1.1486
-1.740 -1.305 0 7000 3 1.1455 1.0838 1.2072
-1.305 -1.131 0 7000 3 1.1618 1.1086 1.2150
-1.131 -0.783 0 7000 3 1.1451 1.0812 1.2089
-0.783 -0.522 0 7000 3 1.1930 1.1559 1.2302
-0.522 -0.000 0 7000 3 1.1742 1.1415 1.2069
0.000 0.522 0 7000 3 1.1742 1.1415 1.2069
0.522 0.783 0 7000 3 1.1930 1.1559 1.2302
0.783 1.131 0 7000 3 1.1451 1.0812 1.2089
1.131 1.305 0 7000 3 1.1618 1.1086 1.2150
1.305 1.740 0 7000 3 1.1455 1.0838 1.2072
1.740 1.930 0 7000 3 1.1117 1.0748 1.1486
1.930 2.043 0 7000 3 1.1581 1.0888 1.2274
2.043 2.322 0 7000 3 1.1912 1.0618 1.3206
2.322 2.5 0 10 3 1.16882 1 1.36882
2.322 2.5 10 20 3 1.1696 1 1.3696
2.322 2.5 20 30 3 1.17114 1 1.37114
2.322 2.5 30 40 3 1.17344 1 1.37344
2.322 2.5 40 50 3 1.17646 1 1.37646
2.322 2.5 50 60 3 1.18018 1 1.38018
2.322 2.5 60 70 3 1.18455 1 1.38455
2.322 2.5 70 80 3 1.18952 1 1.38952
2.322 2.5 80 90 3 1.19506 1 1.39506
2.322 2.5 90 100 3 1.20109 1.00109 1.40109
2.322 2.5 100 110 3 1.20758 1.00758 1.40758
2.322 2.5 110 135 3 1.21948 1.01948 1.41948
2.322 2.5 135 160 3 1.23848 1.03848 1.43848
2.322 2.5 160 185 3 1.25855 1.05855 1.45855
2.322 2.5 185 210 3 1.27899 1.07899 1.47899
2.322 2.5 210 235 3 1.29926 1.09926 1.49926
2.322 2.5 235 260 3 1.31893 1.11893 1.51893
2.322 2.5 260 285 3 1.33772 1.13772 1.53772
2.322 2.5 285 310 3 1.35545 1.15545 1.55545
2.322 2.5 310 335 3 1.37203 1.17203 1.57203
2.322 2.5 335 360 3 1.38741 1.18741 1.58741
2.322 2.5 360 385 3 1.40161 1.20161 1.60161
2.322 2.5 385 410 3 1.41467 1.21467 1.61467
2.322 2.5 410 435 3 1.42665 1.22665 1.62665
2.322 2.5 435 460 3 1.43762 1.23762 1.63762
2.322 2.5 460 485 3 1.44766 1.24766 1.64766
2.322 2.5 485 7000 3 1.57959 1.37959 1.77959
2.5 2.65 0 10 3 1.16315 1 1.36315
2.5 2.65 10 20 3 1.16867 1 1.36867
2.5 2.65 20 30 3 1.17958 1 1.37958
2.5 2.65 30 40 3 1.19563 1 1.39563
2.5 2.65 40 50 3 1.21648 1.01648 1.41648
2.5 2.65 50 60 3 1.24169 1.04169 1.44169
2.5 2.65 60 70 3 1.27079 1.07079 1.47079
2.5 2.65 70 80 3 1.30326 1.10326 1.50326
2.5 2.65 80 90 3 1.3386 1.1386 1.5386
2.5 2.65 90 100 3 1.37631 1.17631 1.57631
2.5 2.65 100 110 3 1.41591 1.21591 1.61591
2.5 2.65 110 135 3 1.48633 1.28633 1.68633
2.5 2.65 135 160 3 1.59364 1.39364 1.79364
2.5 2.65 160 185 3 1.70127 1.50127 1.90127
2.5 2.65 185 210 3 1.80596 1.60596 2.00596
2.5 2.65 210 235 3 1.90559 1.70559 2.10559
2.5 2.65 235 260 3 1.99895 1.79895 2.19895
2.5 2.65 260 285 3 2.08545 1.88545 2.28545
2.5 2.65 285 310 3 2.16495 1.96495 2.36495
2.5 2.65 310 335 3 2.23761 2.03761 2.43761
2.5 2.65 335 360 3 2.30374 2.10374 2.50374
2.5 2.65 360 385 3 2.36379 2.16379 2.56379
2.5 2.65 385 410 3 2.41823 2.21823 2.61823
2.5 2.65 410 435 3 2.46754 2.26754 2.66754
2.5 2.65 435 460 3 2.5122 2.3122 2.7122
2.5 2.65 460 485 3 2.55267 2.35267 2.75267
2.5 2.65 485 7000 3 3.05658 2.85658 3.25658
2.65 2.853 0 10 3 1.02834 1 1.22834
2.65 2.853 10 20 3 1.05531 1 1.25531
2.65 2.853 20 30 3 1.10633 1 1.30633
2.65 2.853 30 40 3 1.1766 1 1.3766
2.65 2.853 40 50 3 1.26075 1.06075 1.46075
2.65 2.853 50 60 3 1.35374 1.15374 1.55374
2.65 2.853 60 70 3 1.45142 1.25142 1.65142
2.65 2.853 70 80 3 1.55052 1.35052 1.75052
2.65 2.853 80 90 3 1.64865 1.44865 1.84865
2.65 2.853 90 100 3 1.74409 1.54409 1.94409
2.65 2.853 100 110 3 1.8357 1.6357 2.0357
2.65 2.853 110 135 3 1.98072 1.78072 2.18072
2.65 2.853 135 160 3 2.16725 1.96725 2.36725
2.65 2.853 160 185 3 2.32274 2.12274 2.52274
2.65 2.853 185 210 3 2.45075 2.25075 2.65075
2.65 2.853 210 235 3 2.55571 2.35571 2.75571
2.65 2.853 235 260 3 2.64183 2.44183 2.84183
2.65 2.853 260 285 3 2.71275 2.51275 2.91275
2.65 2.853 285 310 3 2.77148 2.57148 2.97148
2.65 2.853 310 335 3 2.82041 2.62041 3.02041
2.65 2.853 335 360 3 2.86145 2.66145 3.06145
2.65 2.853 360 385 3 2.89611 2.69611 3.09611
2.65 2.853 385 410 3 2.92557 2.72557 3.12557
2.65 2.853 410 435 3 2.95078 2.75078 3.15078
2.65 2.853 435 460 3 2.97248 2.77248 3.17248
2.65 2.853 460 485 3 2.99128 2.79128 3.19128
2.65 2.853 485 7000 3 3.17137 2.97137 3.37137
2.853 2.964 0 10 3 1.23592 1.03592 1.43592
2.853 2.964 10 20 3 1.25232 1.05232 1.45232
2.853 2.964 20 30 3 1.28392 1.08392 1.48392
2.853 2.964 30 40 3 1.32855 1.12855 1.52855
2.853 2.964 40 50 3 1.38349 1.18349 1.58349
2.853 2.964 50 60 3 1.44594 1.24594 1.64594
2.853 2.964 60 70 3 1.51322 1.31322 1.71322
2.853 2.964 70 80 3 1.58303 1.38303 1.78303
2.853 2.964 80 90 3 1.65351 1.45351 1.85351
2.853 2.964 90 100 3 1.72319 1.52319 1.92319
2.853 2.964 100 110 3 1.791 1.591 1.991
2.853 2.964 110 135 3 1.89997 1.69997 2.09997
2.853 2.964 135 160 3 2.04257 1.84257 2.24257
2.853 2.964 160 185 3 2.16318 1.96318 2.36318
2.853 2.964 185 210 3 2.26349 2.06349 2.46349
2.853 2.964 210 235 3 2.34632 2.14632 2.54632
2.853 2.964 235 260 3 2.41464 2.21464 2.61464
2.853 2.964 260 285 3 2.47112 2.27112 2.67112
2.853 2.964 285 310 3 2.51802 2.31802 2.71802
2.853 2.964 310 335 3 2.5572 2.3572 2.7572
2.853 2.964 335 360 3 2.59012 2.39012 2.79012
2.853 2.964 360 385 3 2.61796 2.41796 2.81796
2.853 2.964 385 410 3 2.64165 2.44165 2.84165
2.853 2.964 410 435 3 2.66195 2.46195 2.86195
2.853 2.964 435 460 3 2.67944 2.47944 2.87944
2.853 2.964 460 485 3 2.69459 2.49459 2.89459
2.853 2.964 485 7000 3 2.8403 2.6403 3.0403
2.964 3.139 0 7000 3 1.2284 1.1021 1.3548
3.139 5.191 0 7000 3 1.0495 0.8770 1.2220
